# 단일 인스턴스 + 세마포어 (동시 처리 50)
# TOTAL_REQUESTS = 1000
# CONCURRENT_TASKS = 50

[INFO] 요청 448 완료 (응답 시간: 107.5168초)
[INFO] 요청 449 완료 (응답 시간: 107.8075초)
[INFO] 요청 450 완료 (응답 시간: 108.1997초)
[INFO] 요청 451 완료 (응답 시간: 108.6155초)
[INFO] 요청 452 완료 (응답 시간: 109.9248초)
[INFO] 요청 453 완료 (응답 시간: 110.2288초)
[INFO] 요청 454 완료 (응답 시간: 109.6382초)
[INFO] 요청 455 완료 (응답 시간: 109.6771초)
[INFO] 요청 456 완료 (응답 시간: 109.6541초)
[INFO] 요청 457 완료 (응답 시간: 109.5417초)
